id,text,sentiment
57,"Franchement, I love it so much! C'est génial 😄 #happy",positive
58,"Franchement, C'est parfait! Everything exceeded my expectations 🎉 5/5",positive
59,Attention! Poor quality! Très mauvaise qualité 💔 😢😢,negative
60,"Malheureusement, C'est inadmissible! Completely unsatisfied 😒 Never again!",negative
61,Attention! Très déçu... Not what I expected 😞 Never again!,negative
62,It's fine I suppose. Rien de fou 😑 We'll see.,neutral
63,"Well, It's alright. Rien d'extraordinaire We'll see.",neutral
64,"Well, C'est correct. Nothing special 😐 On verra.",neutral
65,Wonderful! Très bonne surprise 🎁,positive
66,"Unfortunately, Je suis vraiment pas content! Worst purchase 😾 😢😢",negative
67,Decent but ordinary. Sans surprise On verra.,neutral
68,"Malheureusement, Disappointed... Livraison en retard et produit abîmé 📉 😢😢",negative
69,"Voilà, C'est correct. Nothing special 😐 We'll see.",neutral
70,"Well, It's okay. Correspond à la description 3/5",neutral
71,Hélas... Terrible quality! Produit défectueux 🔴 #disappointed,negative
72,OMG! J'adore ce produit! Best purchase ever 😍 ❤️❤️,positive
73,Excellent rapport qualité-prix! Highly recommended 📈 5/5,positive
74,"OMG! Super expérience, very satisfied with my order ⭐⭐⭐⭐⭐ A++",positive
75,"Sérieusement, Top quality! Je ne regrette pas du tout 👏 ❤️❤️",positive
76,Hélas... Bad quality! Ça ne vaut pas le prix 👊 0/5,negative
77,Wow! Je suis très content! Great value for money 😊 5/5,positive
78,"Unfortunately, Poor service! Personnel désagréable 😐 😢😢",negative
79,Hélas... Terrible quality! Produit défectueux 🔴 😢😢,negative
80,Normal quality for the price. Rien à redire 3/5,neutral
81,Hélas... Je ne suis pas satisfait! Doesn't work properly ⛔ 0/5,negative
82,Hélas... Terrible service! Je ne recommande pas 👎,negative
83,It's fine I suppose. Rien de fou 😑,neutral
84,OMG! Je kiffe! Really impressed 🤩 Keep it up!,positive
85,"Unfortunately, Not worth it! Vraiment pas à la hauteur 📛 #fail",negative
86,Wonderful experience! Merci beaucoup 🙏,positive
87,"Honestly, Amazing! Ça vaut vraiment le coup 🌟",positive
88,"Sérieusement, Excellent quality, vraiment top! Love it 💯",positive
89,"Bon, C'est bien... Not amazing though",neutral
90,"Well, Standard service. Nothing to complain about 3/5",neutral
91,"Decent service. Classique, sans plus",neutral
92,OMG! Amazing! Ça vaut vraiment le coup 🌟 A++,positive
93,Wow! I love it so much! C'est génial 😄 A++,positive
94,"Sérieusement, Superbe! Better than expected 💪 ❤️❤️",positive
95,"Sérieusement, I love it so much! C'est génial 😄 #happy",positive
96,"Well, Average product, prix correct 🤷 3/5",neutral
97,"Malheureusement, Je regrette cet achat... Totally disappointed 😔 #disappointed",negative
98,"Voilà, Average product, prix correct 🤷 On verra.",neutral
99,Wow! Love this! Vraiment un bon achat 😍 A++,positive
100,"Sérieusement, Wonderful experience! Merci beaucoup 🙏 Keep it up!",positive
101,"Sérieusement, Je kiffe! Really impressed 🤩 Keep it up!",positive
102,"Unfortunately, Je regrette cet achat... Totally disappointed 😔 0/5",negative
103,Warning: Bad quality! Ça ne vaut pas le prix 👊 #disappointed,negative
104,Fair enough. Ça fait le job 👍🏼 ⭐⭐⭐,neutral
105,"Sérieusement, Top quality! Je ne regrette pas du tout 👏 5/5",positive
106,"Honestly, Super expérience, very satisfied with my order ⭐⭐⭐⭐⭐ #happy",positive
107,Wonderful experience! Merci beaucoup 🙏 #happy,positive
108,Best experience ever! Très professionnel 🎯 Keep it up!,positive
109,"So, C'est bien... Not amazing though ⭐⭐⭐",neutral
110,"Franchement, Wonderful! Très bonne surprise 🎁 5/5",positive
111,Incredible! Livraison rapide et produit nickel ⚡ Keep it up!,positive
112,Wonderful experience! Merci beaucoup 🙏 Keep it up!,positive
113,"So, C'est correct. Nothing special 😐 We'll see.",neutral
114,"Sérieusement, Excellent quality, vraiment top! Love it 💯 #happy",positive
115,Bad experience overall! Service médiocre 😣 #disappointed,negative
116,Acceptable quality. Correct pour le prix 3/5,neutral
117,Poor service! Personnel désagréable 😐 0/5,negative
118,Poor quality! Très mauvaise qualité 💔 #disappointed,negative
119,OMG! Excellent rapport qualité-prix! Highly recommended 📈 #happy,positive
120,"Malheureusement, C'est vraiment mauvais! Won't buy again ❌ #fail",negative
121,C'est magnifique! Absolutely perfect 💎 A++,positive
122,Excellent rapport qualité-prix! Highly recommended 📈 Bravo!,positive
123,Okay for the price. Rien d'exceptionnel,neutral
124,"Sérieusement, C'est parfait! Everything exceeded my expectations 🎉 Keep it up!",positive
125,"Unfortunately, Bad experience overall! Service médiocre 😣 0/5",negative
126,"Bon, Acceptable. Je m'attendais à mieux maybe We'll see.",neutral
127,C'est vraiment mauvais! Won't buy again ❌,negative
128,"Well, Plutôt correct. Nothing spectacular ✔️ We'll see.",neutral
129,Bad experience overall! Service médiocre 😣 😢😢,negative
130,"Unfortunately, Terrible service! Je ne recommande pas 👎 Never again!",negative
131,"Bon, Fair enough. Ça fait le job 👍🏼 On verra.",neutral
132,Warning: Terrible service! Je ne recommande pas 👎 Never again!,negative
133,"Unfortunately, Terrible service! Je ne recommande pas 👎 #fail",negative
134,"Sérieusement, J'adore ce produit! Best purchase ever 😍 Keep it up!",positive
135,"Well, Acceptable. Je m'attendais à mieux maybe ⭐⭐⭐",neutral
136,Correct but not exceptional. On verra à l'usage 🤔 3/5,neutral
137,It's alright. Rien d'extraordinaire On verra.,neutral
138,Normal. It works as advertised 📝 We'll see.,neutral
139,"Sérieusement, Amazing service! Je recommande vivement 👍 ❤️❤️",positive
140,"Wow! Great product! Super qualité, très satisfait 👌 Bravo!",positive
141,"So, Decent service. Classique, sans plus ⭐⭐⭐",neutral
142,"Well, Fair enough. Ça fait le job 👍🏼 On verra.",neutral
143,"Well, C'est standard. Not bad, not great either 3/5",neutral
144,"Voilà, C'est passable. Could be worse 🆗 3/5",neutral
145,"Well, Normal quality for the price. Rien à redire",neutral
146,Bad experience overall! Service médiocre 😣,negative
147,"Malheureusement, Bad experience overall! Service médiocre 😣 😢😢",negative
148,"Voilà, Acceptable. Je m'attendais à mieux maybe ⭐⭐⭐",neutral
149,"Malheureusement, Disappointed! Ne correspond pas à la description 😕 Never again!",negative
150,"Malheureusement, Terrible quality! Produit défectueux 🔴",negative
151,Wow! Brilliant service! Équipe au top 🌈 Keep it up!,positive
152,It does the job. Produit basique 3/5,neutral
153,"Voilà, C'est bien... Not amazing though",neutral
154,"Bon, Acceptable quality. Correct pour le prix We'll see.",neutral
155,"Malheureusement, C'est inadmissible! Completely unsatisfied 😒 😢😢",negative
156,Wow! Love this! Vraiment un bon achat 😍 A++,positive
157,"Malheureusement, C'est vraiment mauvais! Won't buy again ❌",negative
158,"Malheureusement, Bad quality! Ça ne vaut pas le prix 👊 #fail",negative
159,"Well, Average experience. Ni bon ni mauvais 3/5",neutral
160,"Sérieusement, Brilliant service! Équipe au top 🌈 ❤️❤️",positive
161,Attention! Disappointed! Ne correspond pas à la description 😕 Never again!,negative
162,Warning: Not recommended! Très mauvaise expérience 🙅 😢😢,negative
163,"Sérieusement, I love it so much! C'est génial 😄",positive
164,"Sérieusement, Excellent quality, vraiment top! Love it 💯 Bravo!",positive
165,"Franchement, Wonderful! Très bonne surprise 🎁 Bravo!",positive
166,C'est moyen. Could be better 🙂 ⭐⭐⭐,neutral
167,Wow! Amazing! Ça vaut vraiment le coup 🌟 Bravo!,positive
168,"Sérieusement, C'est magnifique! Absolutely perfect 💎 Keep it up!",positive
169,"Malheureusement, C'est inadmissible! Completely unsatisfied 😒 #disappointed",negative
170,Warning: Je ne suis pas satisfait! Doesn't work properly ⛔ Never again!,negative
171,"Bon, It does the job. Produit basique",neutral
172,"Unfortunately, Disappointed... Livraison en retard et produit abîmé 📉 #disappointed",negative
173,Disappointed! Ne correspond pas à la description 😕 Never again!,negative
174,Hélas... Not worth it! Vraiment pas à la hauteur 📛 Never again!,negative
175,"Sérieusement, Parfait! Exactly what I needed ✨",positive
176,"Unfortunately, Terrible! Perte de temps et d'argent 😩 0/5",negative
177,"Well, C'est standard. Not bad, not great either On verra.",neutral
178,Fair enough. Ça fait le job 👍🏼,neutral
179,"Wow! Excellent quality, vraiment top! Love it 💯 Bravo!",positive
180,Warning: Mauvais service client! Very unprofessional 🤬 😢😢,negative
181,"Well, Normal. It works as advertised 📝 We'll see.",neutral
182,Terrible quality! Produit défectueux 🔴,negative
183,"Malheureusement, Terrible! Perte de temps et d'argent 😩 #disappointed",negative
184,"Honestly, Amazing service! Je recommande vivement 👍 A++",positive
185,Attention! C'est inadmissible! Completely unsatisfied 😒 0/5,negative
186,"Bon, Normal quality for the price. Rien à redire 3/5",neutral
187,Okay for the price. Rien d'exceptionnel We'll see.,neutral
188,Okay for the price. Rien d'exceptionnel 3/5,neutral
189,Wow! Vraiment excellent service! Will definitely come back 💖 #happy,positive
190,Warning: Awful! N'achetez pas ce produit ⚠️ Never again!,negative
191,OMG! Incredible! Livraison rapide et produit nickel ⚡ Bravo!,positive
192,"Voilà, Correct but not exceptional. On verra à l'usage 🤔 On verra.",neutral
193,"So, C'est standard. Not bad, not great either We'll see.",neutral
194,Decent but ordinary. Sans surprise ⭐⭐⭐,neutral
195,Attention! Disappointed! Ne correspond pas à la description 😕,negative
196,Wow! Superbe! Better than expected 💪 5/5,positive
197,"Sérieusement, Wonderful! Très bonne surprise 🎁 A++",positive
198,Warning: Poor service! Personnel désagréable 😐 Never again!,negative
199,"So, C'est standard. Not bad, not great either",neutral
200,"Bon, C'est bien... Not amazing though 3/5",neutral
201,"Bon, C'est correct. Nothing special 😐 We'll see.",neutral
202,"Honestly, C'est magnifique! Absolutely perfect 💎 Keep it up!",positive
203,Warning: Disappointed... Livraison en retard et produit abîmé 📉 😢😢,negative
204,"Well, Decent but ordinary. Sans surprise We'll see.",neutral
205,Warning: C'est nul! Waste of money 😠 😢😢,negative
206,"Unfortunately, Not good at all! Vraiment décevant 😤",negative
207,"Unfortunately, Terrible service! Je ne recommande pas 👎 #fail",negative
208,"Voilà, Standard service. Nothing to complain about We'll see.",neutral
209,"So, C'est correct. Nothing special 😐",neutral
210,Wow! Incredible! Livraison rapide et produit nickel ⚡ Keep it up!,positive
211,Poor service! Personnel désagréable 😐 #disappointed,negative
212,"Honestly, This is awesome! Trop bien, je recommande 🔥 5/5",positive
213,"So, C'est passable. Could be worse 🆗",neutral
214,"Warning: Horrible experience, vraiment pas satisfait 😡",negative
215,"So, Fair enough. Ça fait le job 👍🏼",neutral
216,"Malheureusement, Bad experience overall! Service médiocre 😣 Never again!",negative
217,"Well, It does the job. Produit basique ⭐⭐⭐",neutral
218,Wow! Je kiffe! Really impressed 🤩 Bravo!,positive
219,"Bon, C'est moyen. Could be better 🙂 We'll see.",neutral
220,C'est parfait! Everything exceeded my expectations 🎉 5/5,positive
221,"Excellent quality, vraiment top! Love it 💯 5/5",positive
222,"Franchement, Je suis ravi! Fantastic quality 🥰",positive
223,"Voilà, Decent service. Classique, sans plus 3/5",neutral
224,"Unfortunately, Terrible quality! Produit défectueux 🔴 😢😢",negative
225,Vraiment excellent service! Will definitely come back 💖 #happy,positive
226,"Malheureusement, Je regrette cet achat... Totally disappointed 😔 #fail",negative
227,Terrible service! Je ne recommande pas 👎 😢😢,negative
228,Warning: Horrible! Je veux un remboursement 💸,negative
229,I love it so much! C'est génial 😄 5/5,positive
230,Warning: Bad quality! Ça ne vaut pas le prix 👊 Never again!,negative
231,Wow! C'est parfait! Everything exceeded my expectations 🎉 Keep it up!,positive
232,"So, C'est moyen. Could be better 🙂 We'll see.",neutral
233,"Super expérience, very satisfied with my order ⭐⭐⭐⭐⭐ 5/5",positive
234,"So, It's alright. Rien d'extraordinaire 3/5",neutral
235,OMG! Amazing service! Je recommande vivement 👍 Bravo!,positive
236,Terrible! Perte de temps et d'argent 😩 Never again!,negative
237,"Unfortunately, Poor service! Personnel désagréable 😐 #fail",negative
238,"Sérieusement, Top quality! Je ne regrette pas du tout 👏 Bravo!",positive
239,"Malheureusement, Poor quality! Très mauvaise qualité 💔 😢😢",negative
240,"So, Pas mal without being great 😶",neutral
241,"Excellent quality, vraiment top! Love it 💯 ❤️❤️",positive
242,"Franchement, Outstanding! Meilleur achat de l'année 🏆",positive
243,"Bon, Fair product. On verra sur le long terme 🔄 ⭐⭐⭐",neutral
244,"Well, C'est bien... Not amazing though",neutral
245,Vraiment excellent service! Will definitely come back 💖 #happy,positive
246,Je regrette cet achat... Totally disappointed 😔 #disappointed,negative
247,Hélas... Mauvais service client! Very unprofessional 🤬 0/5,negative
248,"Honestly, Wonderful! Très bonne surprise 🎁",positive
249,Bad quality! Ça ne vaut pas le prix 👊 #disappointed,negative
250,Correct but not exceptional. On verra à l'usage 🤔 On verra.,neutral
251,"Well, Acceptable quality. Correct pour le prix On verra.",neutral
252,"Well, Acceptable. Je m'attendais à mieux maybe On verra.",neutral
253,Wow! C'est magnifique! Absolutely perfect 💎 5/5,positive
254,"Franchement, Wonderful! Très bonne surprise 🎁 #happy",positive
255,Terrible service! Je ne recommande pas 👎 0/5,negative
256,"Honestly, This is awesome! Trop bien, je recommande 🔥",positive
257,"Voilà, It's okay. Correspond à la description 3/5",neutral
258,Attention! Not good at all! Vraiment décevant 😤 Never again!,negative
259,"Franchement, Best experience ever! Très professionnel 🎯 5/5",positive
260,"Wow! Great product! Super qualité, très satisfait 👌 5/5",positive
261,"Sérieusement, Super expérience, very satisfied with my order ⭐⭐⭐⭐⭐ A++",positive
262,Attention! Catastrophique! Don't buy this 🚫 Never again!,negative
263,Warning: Bad quality! Ça ne vaut pas le prix 👊 #disappointed,negative
264,C'est passable. Could be worse 🆗,neutral
265,OMG! C'est parfait! Everything exceeded my expectations 🎉 Bravo!,positive
266,"Unfortunately, Je regrette cet achat... Totally disappointed 😔",negative
267,Hélas... Terrible service! Je ne recommande pas 👎 #disappointed,negative
268,Hélas... C'est vraiment mauvais! Won't buy again ❌ #fail,negative
269,Not good at all! Vraiment décevant 😤 0/5,negative
270,Wow! Love this! Vraiment un bon achat 😍 Keep it up!,positive
271,Je suis ravi! Fantastic quality 🥰 5/5,positive
272,"Franchement, Je suis ravi! Fantastic quality 🥰",positive
273,"Bon, C'est moyen. Could be better 🙂 3/5",neutral
274,Wow! J'adore ce produit! Best purchase ever 😍 A++,positive
275,Je regrette cet achat... Totally disappointed 😔 0/5,negative
276,Attention! Je suis vraiment pas content! Worst purchase 😾 😢😢,negative
277,"Franchement, Je kiffe! Really impressed 🤩 Keep it up!",positive
278,Hélas... C'est inadmissible! Completely unsatisfied 😒 Never again!,negative
279,"So, Correct but not exceptional. On verra à l'usage 🤔 3/5",neutral
280,"Sérieusement, Excellent rapport qualité-prix! Highly recommended 📈 A++",positive
281,"So, Average experience. Ni bon ni mauvais On verra.",neutral
282,"Voilà, It's fine I suppose. Rien de fou 😑 ⭐⭐⭐",neutral
283,OMG! Je suis ravi! Fantastic quality 🥰 Bravo!,positive
284,"Franchement, This is awesome! Trop bien, je recommande 🔥 A++",positive
285,OMG! Parfait! Exactly what I needed ✨,positive
286,"Voilà, Pas mal without being great 😶 On verra.",neutral
287,"Franchement, Excellent quality, vraiment top! Love it 💯",positive
288,Warning: Catastrophique! Don't buy this 🚫 😢😢,negative
289,Waste of time! Vraiment pas terrible 😑,negative
290,"Sérieusement, C'est parfait! Everything exceeded my expectations 🎉",positive
291,"Sérieusement, Outstanding! Meilleur achat de l'année 🏆 5/5",positive
292,"Unfortunately, Awful! N'achetez pas ce produit ⚠️",negative
293,Hélas... Not worth it! Vraiment pas à la hauteur 📛,negative
294,Warning: Bad quality! Ça ne vaut pas le prix 👊 #fail,negative
295,"Malheureusement, Je suis vraiment pas content! Worst purchase 😾 😢😢",negative
296,OMG! Je suis ravi! Fantastic quality 🥰 5/5,positive
297,"Unfortunately, Waste of time! Vraiment pas terrible 😑 0/5",negative
298,"Unfortunately, Not good at all! Vraiment décevant 😤 0/5",negative
299,Plutôt correct. Nothing spectacular ✔️ On verra.,neutral
300,"Sérieusement, Wonderful! Très bonne surprise 🎁",positive
301,"Sérieusement, Outstanding! Meilleur achat de l'année 🏆 Keep it up!",positive
302,"Franchement, C'est magnifique! Absolutely perfect 💎 #happy",positive
303,Hélas... Catastrophique! Don't buy this 🚫 Never again!,negative
304,OMG! C'est magnifique! Absolutely perfect 💎,positive
305,Attention! Awful! N'achetez pas ce produit ⚠️ 0/5,negative
306,"So, Normal. It works as advertised 📝 On verra.",neutral
307,"Bon, It does the job. Produit basique ⭐⭐⭐",neutral
308,Hélas... Je ne suis pas satisfait! Doesn't work properly ⛔ 0/5,negative
309,"OMG! Great product! Super qualité, très satisfait 👌 A++",positive
310,Warning: Awful! N'achetez pas ce produit ⚠️ #fail,negative
311,"Malheureusement, Bad experience overall! Service médiocre 😣 0/5",negative
312,"Voilà, Decent but ordinary. Sans surprise",neutral
313,Warning: Terrible quality! Produit défectueux 🔴 😢😢,negative
314,"Bon, Standard service. Nothing to complain about ⭐⭐⭐",neutral
315,OMG! Amazing! Ça vaut vraiment le coup 🌟 ❤️❤️,positive
316,OMG! Best experience ever! Très professionnel 🎯 Keep it up!,positive
317,Terrible! Perte de temps et d'argent 😩,negative
318,Hélas... Bad experience overall! Service médiocre 😣 😢😢,negative
319,"So, Fair enough. Ça fait le job 👍🏼 3/5",neutral
320,"Well, C'est standard. Not bad, not great either 3/5",neutral
321,"Bon, Pas mal without being great 😶 On verra.",neutral
322,Ok I guess... Peut mieux faire On verra.,neutral
323,Poor service! Personnel désagréable 😐 #disappointed,negative
324,Attention! Not recommended! Très mauvaise expérience 🙅,negative
325,"This is awesome! Trop bien, je recommande 🔥 #happy",positive
326,Wow! Amazing service! Je recommande vivement 👍 #happy,positive
327,"Unfortunately, Catastrophique! Don't buy this 🚫 😢😢",negative
328,"Sérieusement, This is awesome! Trop bien, je recommande 🔥 A++",positive
329,"Well, It's alright. Rien d'extraordinaire 3/5",neutral
330,"Voilà, Ok I guess... Peut mieux faire 3/5",neutral
331,"Average product, prix correct 🤷 On verra.",neutral
332,"OMG! Great product! Super qualité, très satisfait 👌",positive
333,"Bon, C'est moyen. Could be better 🙂",neutral
334,"Franchement, Super expérience, very satisfied with my order ⭐⭐⭐⭐⭐ Bravo!",positive
335,"Sérieusement, Outstanding! Meilleur achat de l'année 🏆",positive
336,J'adore ce produit! Best purchase ever 😍 #happy,positive
337,"Sérieusement, Brilliant service! Équipe au top 🌈 5/5",positive
338,OMG! Vraiment excellent service! Will definitely come back 💖 ❤️❤️,positive
339,"Well, Pas mal without being great 😶 We'll see.",neutral
340,"Honestly, Great product! Super qualité, très satisfait 👌 #happy",positive
341,"Decent service. Classique, sans plus On verra.",neutral
342,"Bon, Ok I guess... Peut mieux faire We'll see.",neutral
343,Wow! Brilliant service! Équipe au top 🌈 ❤️❤️,positive
344,Hélas... Disappointed! Ne correspond pas à la description 😕 0/5,negative
345,"Bon, C'est correct. Nothing special 😐",neutral
346,"So, Okay for the price. Rien d'exceptionnel We'll see.",neutral
347,"Voilà, Average experience. Ni bon ni mauvais",neutral
348,Attention! Disappointed... Livraison en retard et produit abîmé 📉 0/5,negative
349,Not recommended! Très mauvaise expérience 🙅 😢😢,negative
350,Attention! C'est inadmissible! Completely unsatisfied 😒,negative
351,Waste of time! Vraiment pas terrible 😑 #fail,negative
352,"Voilà, It's alright. Rien d'extraordinaire",neutral
353,"Sérieusement, J'adore ce produit! Best purchase ever 😍 ❤️❤️",positive
354,"Sérieusement, Wonderful! Très bonne surprise 🎁 Bravo!",positive
355,"Voilà, Acceptable. Je m'attendais à mieux maybe",neutral
356,"Sérieusement, Top quality! Je ne regrette pas du tout 👏",positive
357,Hélas... C'est inadmissible! Completely unsatisfied 😒 Never again!,negative
358,Outstanding! Meilleur achat de l'année 🏆 Bravo!,positive
359,C'est parfait! Everything exceeded my expectations 🎉,positive
360,"Unfortunately, Catastrophique! Don't buy this 🚫 #disappointed",negative
361,OMG! Je suis ravi! Fantastic quality 🥰 Bravo!,positive
362,"Franchement, This is awesome! Trop bien, je recommande 🔥 A++",positive
363,"So, C'est moyen. Could be better 🙂 ⭐⭐⭐",neutral
364,Hélas... Bad experience overall! Service médiocre 😣 0/5,negative
365,"Honestly, Incredible! Livraison rapide et produit nickel ⚡ #happy",positive
366,"Unfortunately, Catastrophique! Don't buy this 🚫 😢😢",negative
367,"This is awesome! Trop bien, je recommande 🔥 #happy",positive
368,"OMG! Great product! Super qualité, très satisfait 👌 ❤️❤️",positive
369,"Honestly, Amazing! Ça vaut vraiment le coup 🌟 5/5",positive
370,"Bon, It's alright. Rien d'extraordinaire",neutral
371,It does the job. Produit basique ⭐⭐⭐,neutral
372,"Voilà, C'est correct. Nothing special 😐 ⭐⭐⭐",neutral
373,"Franchement, J'adore ce produit! Best purchase ever 😍 ❤️❤️",positive
374,Attention! Poor service! Personnel désagréable 😐 Never again!,negative
375,Warning: Poor service! Personnel désagréable 😐 #disappointed,negative
376,"So, C'est standard. Not bad, not great either ⭐⭐⭐",neutral
377,"Unfortunately, Horrible experience, vraiment pas satisfait 😡 0/5",negative
378,Superbe! Better than expected 💪 Keep it up!,positive
379,"Honestly, Incredible! Livraison rapide et produit nickel ⚡ #happy",positive
380,Acceptable quality. Correct pour le prix ⭐⭐⭐,neutral
381,"Voilà, Acceptable quality. Correct pour le prix We'll see.",neutral
382,"Voilà, Ok I guess... Peut mieux faire 3/5",neutral
383,Très déçu... Not what I expected 😞 #disappointed,negative
384,"Malheureusement, Catastrophique! Don't buy this 🚫 😢😢",negative
385,OMG! Je kiffe! Really impressed 🤩 A++,positive
386,"Franchement, Amazing! Ça vaut vraiment le coup 🌟 5/5",positive
387,"Bon, It's alright. Rien d'extraordinaire ⭐⭐⭐",neutral
388,Love this! Vraiment un bon achat 😍 ❤️❤️,positive
389,Brilliant service! Équipe au top 🌈 ❤️❤️,positive
390,"Unfortunately, Terrible service! Je ne recommande pas 👎 😢😢",negative
391,"Honestly, Je suis très content! Great value for money 😊 Keep it up!",positive
392,"Bon, Normal quality for the price. Rien à redire On verra.",neutral
393,Warning: Disappointed... Livraison en retard et produit abîmé 📉 0/5,negative
394,J'adore ce produit! Best purchase ever 😍 Keep it up!,positive
395,OMG! I love it so much! C'est génial 😄,positive
396,Hélas... Très déçu... Not what I expected 😞 #fail,negative
397,"Franchement, Amazing service! Je recommande vivement 👍 #happy",positive
398,"Honestly, Amazing service! Je recommande vivement 👍",positive
399,"So, Fair product. On verra sur le long terme 🔄 We'll see.",neutral
400,Attention! Je ne suis pas satisfait! Doesn't work properly ⛔ 😢😢,negative
401,OMG! Best experience ever! Très professionnel 🎯 #happy,positive
402,"So, Normal quality for the price. Rien à redire",neutral
403,"Franchement, Amazing! Ça vaut vraiment le coup 🌟 Bravo!",positive
404,Attention! C'est nul! Waste of money 😠 😢😢,negative
405,"Voilà, Correct but not exceptional. On verra à l'usage 🤔",neutral
406,"Malheureusement, Horrible! Je veux un remboursement 💸 Never again!",negative
407,"Unfortunately, Disappointed! Ne correspond pas à la description 😕 #fail",negative
408,"Franchement, Je suis ravi! Fantastic quality 🥰 Keep it up!",positive
409,"Sérieusement, Excellent rapport qualité-prix! Highly recommended 📈 5/5",positive
410,"Horrible experience, vraiment pas satisfait 😡",negative
411,"Franchement, Amazing! Ça vaut vraiment le coup 🌟",positive
412,Hélas... Terrible! Perte de temps et d'argent 😩 😢😢,negative
413,"Unfortunately, C'est nul! Waste of money 😠 0/5",negative
414,"OMG! Super expérience, very satisfied with my order ⭐⭐⭐⭐⭐ #happy",positive
415,"Honestly, Great product! Super qualité, très satisfait 👌 A++",positive
416,Acceptable. Je m'attendais à mieux maybe On verra.,neutral
417,"Wow! This is awesome! Trop bien, je recommande 🔥 #happy",positive
418,"Voilà, Decent but ordinary. Sans surprise 3/5",neutral
419,"Bon, Normal quality for the price. Rien à redire",neutral
420,Warning: Terrible! Perte de temps et d'argent 😩 😢😢,negative
421,Warning: Je regrette cet achat... Totally disappointed 😔,negative
422,Warning: Bad quality! Ça ne vaut pas le prix 👊 #fail,negative
423,Attention! C'est nul! Waste of money 😠 #disappointed,negative
