review_body,stars,product_category,language
"I wanted to love this mouse I have been very pleased with redragon mice in the past this one sadly falls short of even my logi g502. The second row of buttons are very weak in this they feel worn out and it is new, I am expecting the others to feel the same very soon, the plastic is not like their previous product it feels very cheep in hand, the mode selector is on the bottom so quick access is not there with no way to validate other than opening the software to see what mode your in, finally even though the extra step feels good on the fingers it makes the base so wide if there is any uneven part of your desk it will teeter todder and miss inputs. For the price it is a good piece to test but I would recommend from my expirence paying 20$ more for another brand. Positives it does feel nice in hand even with the cheap plastic, the software is surprising doing well, easy to use and gives you multiple options such as double keying, lastly even though the side buttons need some love to input there are enough buttons to make anyone happy.",3,pc,en
"Best show ever! However, the first disk is damaged and so some episodes can't be played.",4,other,en
This was a gift for a Raider fan. He loved it! Packaging helped it ship safely.,5,home,en
"Roman court, la suite de la série des jeux. Rapide à lire. Par contre des erreurs de frappe ou de traduction par endroit.",5,digital_ebook_purchase,fr
Super produits pour mon oneplus 5 découpe parfaite texture au toucher très agréable. Les bords sont bien recouvert. Livraison rapide et emballage nickel.,5,pc,fr
Arrivé en temps et en heure. Merci,4,other,fr
"I ordered these for my vacation in Ireland and Iceland and I must say these boots are awesome! Exactly what I was looking for. They are comfy, lightweight, and waterproof! I am a size 7 but I ordered a half size up to make space for thick socks.",5,shoes,en
"I know it's my fault for not looking at the dimensions closely enough but this is very small. It does look exactly like the picture, just smaller. It seems to be good quality. I currently have a puppy and am buying small bags of puppy food which fit in this container so it is working okay. Any bigger bags would not fit though. I am a little annoyed as this is the second time I have bought something from amazon that turned out to be small.",3,pet_products,en
article de bonne qualité et adapté a la demande . En revanche mon premier colis étant perdu le vendeur ne prend rien en charge concernant le désagrément engendré . Amazon très pro comme d'habitude a procédé au remboursement mais le vendeur se décharge de tout et ne procède même pas a un geste commerciale sachant que étant obligé de refaire une nouvelle commande a un tarif plus élevé !!!,2,home_improvement,fr
"As others have stated, I'm finding way too many of these wipes to be dry. When half your product doesn't meet expectations, you don't get a very good review.",2,drugstore,en
Like the bulbs bought two one came broke in the package not sure how to get replace ?,1,home_improvement,en
I just had a hard time getting interested in this book. Read four chapters the quit.,2,digital_ebook_purchase,en
Bonjour j'ai acheter un blackview je les reçu mais y ne s'allume pas .. Que faire ? Je le met en charge rien ne s'affiche,1,wireless,fr
Excellente qualité qui n'est plus à prouver. En revanche je le trouve plutôt petit pour accueillir toutes les affaires de collège :/,4,luggage,fr
par contre l'élément prend rapidement l'huile ce qui ne le rend pas pratique,3,home,fr
"This doesn't fit on a 1992 Chevrolet Caprice. Looks like the right part, but it's much bigger.",1,automotive,en
Not at all magnetic like you think,2,toy,en
Was not even close to being the correct protector for my tab 10. Nothing lined up. All of them went into the trash,1,wireless,en
"Really ez to use, easily beats flossing",5,beauty,en
"c'est le deuxième enfile chaussettes que je commande. Le premier était monté à l'envers, je pensais qu'il s'agissait d'une erreur, mais le second que je viens de recevoir l'est également. Il faut donc le démonter pour pouvoir s'en servir....Je pense que vous avez eu des retours ou que les personnes ne peuvent pas s'en servir .",3,personal_care_appliances,fr
Installed it today and cant even tell it is there!!,5,wireless,en
"I did not think this was as ""great"" as advertised. Pretty average to me.",4,digital_ebook_purchase,en
"Très beau résultat, vendeur très réactif pour la personnalisation du produit. Mon fils était émerveillé par son gâteaux!",5,home,fr
Très pratiques et jolis.,5,home_improvement,fr
"I love these cups for my 3 year old! They are leak proof and hold a decent amount of water for when she is at preschool all day. I removed one star because the last set I had, the plastic piece that holds the spout in broke when my daughter dropped her cup. I wish it was more durable to withstand little kid wear and tear.",4,kitchen,en
Bonne protection même si la découpe pourrait etre de meilleure qualité,4,pc,fr
tres contente de cet achat. Mon fils de 12 ans se régale.bravo à amazon car jeux reçu trés bien emballé et dans les delais pour la livraison.,4,video_games,fr
article livrer au plus tard le 12 nous somme le 14 et toujours rien ....?,2,automotive,fr
Already showing heavy wear,2,shoes,en
"un bon produit qui fait bien le travail. pas bon marché, mais semble être fort et fiable",5,lawn_and_garden,fr
"I bought it as a replacement for my sound core nano thinking it would be louder since it's approximately the same size but newer. I still think the Nano is a bit louder. Also, the build quality of the Nano is way better. Hey Anker... just remake the Nano and mass produce it again. I'll find a use for the Ao, eventually, I'm sure.",4,electronics,en
I bought this for my 5 year old son who loves the planets. We hung it by his bed and he loves looking at all the planets and reading the facts!,5,home,en
"je ne peux pas évaluer ce produit car je viens de le recevoir et donc pas encore vu les effets. Cependant, je ne mets que 3 étoiles car l'emballage ne convient pas vraiment à ce type de produits. Les boîtes étaient ouvertes et écrasées.",3,personal_care_appliances,fr
"I expected cheap, but at the very minimum expected instructions. None were included. This ended up being so frustrating!",1,furniture,en
Heavy system to jog with,3,other,en
Emballage correct. La mise en fonctionnement est simple et validée par un éclairage en flash d’une petit LED verte. Par contre on ne mesure pas si il y a une réelle efficacité du produit contre les aboiements.,2,pet_products,fr
"The couch cover works. Size is good, color is ok and I will find out how good this product is when I wash it few times.",4,home,en
Stopped working shortly after purchasing. The reviews are correct. Don't waste your money.,2,wireless,en
J'ai pu m'en servir 2 années de suite :),5,home_improvement,fr
"Considering all the stories about werewolves out there, there would be another one that was different with unexpected twists and turns..",4,digital_ebook_purchase,en
"Produit conforme et couleur bien respectée. Il s'adapte parfaitement au samsung S7. Le ""cuir"" dégage un peu une odeur de produit chimique pendant assez longtemps",4,wireless,fr
Très belle couleur naturelle et facile à travailler,5,sports,fr
Beau Sac à langer design et super pratique surtout avec plusieurs enfants ! Plusieurs poches pour mettre les biberons et autres. Facile à nettoyer. Je suis très satisfaite de mon achat. Je recommande,5,baby_product,fr
"Dommage que les bords du lit coussin s'affaisse tous les jours, obligée de remettre le coussin à l'intérieur du lit .",3,pet_products,fr
Love Love Love! this trashcan is so versatile and even used it as a cooler for my water on day i do errands to keep it cool.,4,automotive,en
Tous pleins de trous après 2 voir 3 mois maxi,2,sports,fr
The taste is great but I didn’t feel that it caused any sleepiness or deeper sleep. I don’t want to increase the dosage due to the sweet content.,3,drugstore,en
The adhesive strip is a pain to put on and it doesn’t want to stick. I actually used super glue to keep it on.,2,automotive,en
SUPER LIVRAISON OK et RENOVATION DE MES TABOURETS,4,furniture,fr
"j'ai commandé cette article pour un déménagement , je le reçois endommagé dans un des quatre coins du plateau , carton énorme avec beaucoup de scotch ce qui prouve que l'article a eu un choc dans première emballage et certainement remis dans ce carton comte tenu que j'en ai besoin rapidement et que c'est emmerdant de le retourner , je le garde mais évidement je suis pas satisfait",2,industrial_supplies,fr
I like these for the price but they have some issues they flicker some times n when they are just normal not dark they are green n like kinda dark to begin with so I cant wear em inside all day like I wish they were clear then go dark but for the price they work fine n if ya just throw em on for 10 min here n there for spot welding there perfect or in my case plasma burning they wrk,4,other,en
Was a bit big but could be worn.,3,shoes,en
Je mets 1 etoile car il faut en mettre une mais je ne peux pas evaluer cet article car malheureusement je ne l'ai jamais recu. Je suis en attente du remboursement.,1,other,fr
We liked this product in the beginning very much. after 3 weeks the different colors stopped showing up one after the other. After 4 weeks the item was not usable anymore - no light at all,1,baby_product,en
"Vraiment pas cher et il ne faut pas attendre de miracle. Le son est très moyen (basses inexistantes, il y a un petit bruit e fond lorsqu'il ny a pas de musique ). Points positifs : très légers, facile à parier (bien lire la notice), tiennent bien en place (surprenant d ailleurs car c'est une taille unique.",3,electronics,fr
Not a bad product but there are other Blink weather proof covers that work better.,3,pc,en
Reçu rapidement tres facile à installer grace à la grande surface adhesive animaux ludiques et beaux,4,baby_product,fr
can't say much it was a gift. got it in a timely manner and the person really likes it.,5,electronics,en
"Product was good, but honey was leaking out of packaging when it arrived.",4,grocery,en
"This said american size, it was chinese size and way too small XXL is a large",1,apparel,en
"My son loves this dinosaur set! The vehicles are slightly cheaply made and one broke the first time he played with it but everything else is perfect and just as described. There were no missing pieces, it was all packaged well, we received it in great time, and we enjoy it very much.",4,toy,en
Conforme à la description,5,toy,fr
"Solide, bonne qualité,",5,toy,fr
"Bon masque, confortable. C'est dommage qu'il ne ressemble pas trop à ce que je pouvais imaginer ! Merci quand même",3,toy,fr
"Globe minuscule,cher pour ce que c'est.",2,toy,fr
Not very sudsy. Weird consistency,3,drugstore,en
Gives the cats hard stools and constipation will never ever never ever buy this again. I feed it to the pigeons now,1,pet_products,en
"UPDATE: The seller send out another tent for me, BUT THE WRONG ONE!!! The canopy that initially bought had all the sides included, but the replacement DIDN'T. They answered me very fast! Excellent costumer service, BUT again, sent me the wrong item. I'm contacting them again and HOPEFULLY getting the right item at my door! I'll update this review accordingly. It is hard to believe that this ""GREAT"" tent didn't pass to the test of a VERY light rain. AND the first rain it ever had. Just hard to believe. First of all and don't get me wrong; this tent is large, beautiful, easy to assemble/disassemble AND very sturdy (Supposed to!) I have this tent for literally 1 month and 1 week without any problem. NONE! Until today after work! Just could not believe when I got back from work I saw half of the tent on the floor. I use the tent to cover some artwork that are in process and some are work that'r done. Luckily, I covered everything that I create for extra security. I have not contacted the company for I REALLY want to give a 5 stars for this product. I want to test their responsibility for this damage, for paying $200 dollars for this product I expected it being able to hold at least a small ""glass of water coming from the sky"", thing that it didn't. I'm not sure if the product had any problem, and if had, I wasn't aware of. I definitely don't ask for many refund, but for a new tent. When I get the feedback form the seller (hope) I update this review accordingly. For now, if I could give Zero Star I would.",1,lawn_and_garden,en
J'ai choisi ce mouche bébé car on a pas besoin d acheter des filtres. Ça fonctionne mais je pense utiliser une autre technique pour moucher bébé plus efficacement,3,baby_product,fr
"My cats love when I put these gloves on. When they haven't been brushed in a while it takes sheets of hair off them, but sometimes it's just a few hairs and they are harder to remove from the gloves. Overall a good purchase.",4,pet_products,en
"Très solide et de bonne qualité, il est facile d'emploi, c'est un bon produit. Je suis satisfaite et je le recommande",5,camera,fr
The wrong item was shipped. The one I received was darling but I had no need for a random sorority bracelet instead of the one I ordered. The package was returned easily but I miss a Christmas deadline due to the mix-up.,3,jewelry,en
Vraiment bof Coupe pas super La pointe se tord...,2,home,fr
"Great copy, in great shape. Bought as a gift, they loved it and will pass it on to another friend.",4,book,en
"The rope comes with a baggie of crimps, making for neat and clean tie ups. I used this to tie a tree together amongst other things. There is plenty of extra cord leftover, it'll be nice to have in the garage.",5,industrial_supplies,en
impossible de charger Multi-Insectes Solaire Alimenté au soleil donc inutilisable N'a jamais fonctionné la nuit après une longue exposition au soleil,1,lawn_and_garden,fr
"Bien moins cher que chez Makita, évidemment...",4,home_improvement,fr
"This is the product I have been searching for and the one I will never be without!! Smoothes flyaways, Detangles, softens and shines. Do yourself a favor and order.",5,beauty,en
"Très pratique, mais je n'ai pas encore trouver l'utilisé d'en avoir autant (pour ma part) mais la qualité est un peu légère, surtout au niveau des fermeture éclaire.",3,luggage,fr
"I was disappointed; these didn't really work for me. However, customer service was excellent and they refunded my money without a fuss.",2,drugstore,en
"j'ai commandé ce produit qui a l'air génial, mais il était trop grand. j'ai bien mesuré ma taille comme indiqué et c'est très loin du compte !! il faut prendre taille tailles en dessous, donc attention aux tailles !",1,sports,fr
Franchement sans plus. Il n'y a pas beaucoup de détails sur ce pop. Un peu déçu en vrai,3,toy,fr
Test de l'eau de piscine pas très précis !,2,lawn_and_garden,fr
Le micro est très mauvais je fais un retour directement,2,pc,fr
"An excellent product, buy one now. If you are someone who likes white noise while you sleep, this is the device for you. It is small, portable, well-made, has a wide range of volumes, and fairly easy to operate. This device fits in your hand and can easily be packed for trips. It remembers whatever setting it was last on, so you don't have to readjust it every time you unplug it and plug it back in. The construction seems solid and put together with the intention to last; this is not a cheap feeling product. The sound output can go from quite quiet to almost too loud, so virtually everyone should be able to find the setting that is right for them. Initial setup is a bit of a hassle, what with going through every one of the noises, but once you find the one you like, you can just stick with it forever. There is a 60 minute option on the device, which shuts it off after an hour, but I only ever use the continuous sound with the simple on/off button. The 60 minute option does work, however, as I've tested it just to see. What I really like about the continuous sound from this device is that it never loops or has any pauses while it restarts--it's just uninterrupted white noise going endlessly. It really is great. While you might think 50 bucks is a lot for something that just makes a repetitive noise, you sleep every single day. I've had this for several years now and it is still going strong, so that means I'm paying only a penny or three a day to help ensure a good night's sleep. I'd call that a solid investment. Do yourself a favor and buy this product. Your well-rested morning self will appreciate it.",5,drugstore,en
pour ma carte d'invalidité que je ne positionne sur le pare brise que lorsque je suis en situation - surtout ne pas oublier GARE AU PV,2,home,fr
"On se demande si ce n'est pas un attrape nigaud. Ce qui est sûr, c'est que la ""mesure"" d'humidité dépend du type de terre, donc à prendre avec des pincettes. Je ne recommanderais pas.",2,lawn_and_garden,fr
Très beau jeu ma petite-fille a bien aimé,5,toy,fr
Déception totale .la caméra ne fonctionne tout simplement pas malgré tous les essais effectués.elle ne s allume même pas.elle est couteuse aussi,1,camera,fr
"Très facile d'utilisation, il suffit de connecter la manette d'origine à celle là en appuyant en même temps sur le bouton, j'ai pu ajouter deux modes sur la télécommande, peux aller jusqu'à 4.",5,electronics,fr
Doesn't controle sound as stated,2,electronics,en
This was a quick and sexy read giving us a taste of what’s to come for Asher and Izzy in the upcoming book.,4,digital_ebook_purchase,en
"good product, reasonable price and excellent quality",5,industrial_supplies,en
Tout juste utilisé . Epson fait des remarques on fait ok ok ok et ça marche !,4,office_product,fr
Je n'ai jamais eu cet article et le vendeur ne me répond pas pour savoir ou est l'ouvrage. Cela fait fait plus de deux semaines que mon fils l'attend.,1,book,fr
"The smell is off. The shampoo smells better than the conditioner and they smell so different. When purchased I had uncolored hair. My hair is straight, in between thick and fine. It’s now lightened/colored and I dont like this shampoo for my natural or colored hair. If you have a similar hair type I wouldn’t suggest this.",2,beauty,en
Parfaitement conforme à la description Câble de qualité Utilisé dans mon véhicule pour brancher le téléphone et une clé USB en même temps,5,pc,fr
"Battery was DOA and will not take charge, the power cord did not have the end that plugs into the wall.",1,pc,en
Bien pour le prix mais déçue par la longueur (un peu courte) il n'y avait pas la longueur dans les descriptifs,3,sports,fr
Good scent but doesn't last long.,3,beauty,en
Stop working after 3 months use every other day,2,automotive,en
"Très déçu par ce modele, après seulement 1 mois d'utilisation. Le support est déjà couvert de tache impossible à enlever. Je ne sais pas si c'est la vibration qui créée ces taches mais je suis vraiment déçu. Vu le prix on attend un minimum de qualité...",1,wireless,fr
La qualité est pas bonne du tout cette manette c’est surtout pour de la collection et encore,2,video_games,fr
These are a high quality glove. Strongly recommended. Shipping was super quick also.,5,drugstore,en
"Très bon petit objet déco en bois. Le seul bémol que j'ai eu, c'est qu'il s'est décollé après quelques semaines. Un souci mineur qui a vite été résolu et il ne s'est plus détaché depuis",4,toy,fr
Utilisation pour une bâche de 5m ombrage...,5,home_improvement,fr
Ce jeu ne marche pas sur pc. Très déçu.,1,video_games,fr
Acheté en remplacement de l'ancienne achetée en janvier 2014 et complètement fichue (part en morceaux). Donc longévité de 4 ans pour une utilisation uniquement sédentaire au salon. Coût annuel 4.00 € ; c'est pour ça que je mets 3 sur 5.,3,pc,fr
"T-shirt feel, but comfortable and light. Perfect when it is humid and looking for soft and breathable comfort.",3,apparel,en
Utilisation pour mon portable,2,wireless,fr
"Le produit est impeccable, il est plutôt discret une foi dans un coin. Mon chat y va quand le temps ne lui conviens pas pas pour aller dehors. Simple à manipuler, à vider, rien a redire. Par contre le filtre au dessus de la caisse a été attaquer tout de suite par mon chat sans aucune raison. Enfin j'imagine qu'il avait ses raisons ^^ Je dirais que c'est le seul bémol de la caisse.",4,pet_products,fr
"I bought this to sharpen my Wustof Ikon knife set, but it did not work. In fact it seem to strip the edge off my knives and make them worse than ever.",1,kitchen,en
"I got this and it worked great for the first 2 months. Now, if my dog cries even slightly it goes off. If another dog barks, it goes off. Great product when working correctly.",3,pet_products,en
"The first dongle I received did not work. Their customer service people sent a replacement right away and this one worked immediately after a restart. It seems to work consistently without any trouble after a few days of use. So when this product works, it seems to work well. I suppose they need to work on their quality control a little. If you're okay with maybe having to get a replacement, I'd say go for this one. previous review The one I got is not functional. It will work as a bluetooth adapter for a few minutes and then just stop working. I'm trying to set this up on a brand new modern PC so that probably isn't the problem. I've tried multiple ports, restarting, the works. I used to work in IT and now work in software so I could get this to work if it was possible.",4,pc,en
"Like every other piece of Calphalon cookware I have owned, this one is well made and easy to clean. No complaints.",5,kitchen,en
I absolutely can not stomach the smell. I will be giving this product away unfortunately despite the the benefits of the oil. I can not get past the smell.,3,beauty,en
This design causes the fan to constantly move away from you and swirl around. Buy one that is enclosed all the way around.,1,drugstore,en
I loved the look of this band but unfortunately it has a cheap clasp and I lost my entire Fitbit!,1,sports,en
"le mécanisme de pédalage n'est pas vraiment fluide et le bouton de réglage de l'intensité du pédalage ne fonctionne pas, l'ordinateur LCD ça marche, c'est facile a monter, pour ce que concerne le rapport qualité -prix, le prix est bas mais la qualité pour moi c'est pas suffisant aussi si en tout cas me permet de pédaler, la selle est confortable.",3,sports,fr
"After few washes, they looks very poor",3,baby_product,en
Tondeuse à nez et oreille parfaite. Le reste est un gadget à peine efficace. Dommage.,3,drugstore,fr
tient 6 mois puis c est fini pas fiable,2,home,fr
Une bourrasque de punchline qui se lit aussi vite qu'une bonne gifle à travers le menton,4,book,fr
Fits good looks like good quality We Will see how long it lasts in the sun . Over all not bad,4,automotive,en
Pas pratique car percées uniquement sur le fond...,1,home,fr
These lights are amazing! I love the ambience but don't like the open flame option or the constant change of batteries and safe disposal of said batteries. Finally found a USB charging candle. They hold a long charge - easily up to 18 hours - and charge FAST. They are bright and flickering. I love the magnetic option but honestly haven't used it yet. Definitely worth the purchase. I would buy more if they had a bigger size option.,5,home_improvement,en
Je l’ai acheté pour mes enfants mais ça ne fonctionne pas du tout! Je vais les renvoyer!,1,home,fr
"These have an expensive, classy look even though they’re a bargain for the price. I wear them all the time. I live in Texas where there is just too much sun and these are wonderful and match everything.",5,apparel,en
"Pour un parfait débutant, le livre est difficile d accès et on peut vite etre perdu avec le jargon technique",3,digital_ebook_purchase,fr
Very satisfied! Just like we imagined!,5,furniture,en
Bien mais pour quelqun mangeur reste petit et vu q c'est du plastique ne chauffez pas trop si vous mettez sauce tomate ou epices car tâche facilement. domage q le couvercle ne peut pas passer au lave vaisselle.,4,home,fr
"I find other aromatherapy vaporizers more pleasant smelling, and they're less expensive.",1,beauty,en
"The material is very soft and the fit was very nice, we live in Hawaii and it was just too hot to wear here as we go into summer.",2,apparel,en
La lampe ne fonctionne pas,1,home,fr
This bag is just for the small bottles. I keep the 5 oz bottles in it. But will have to buy a bigger one later on when will need larger bottles,5,baby_product,en
Contente de mon achat fonctionne bien,5,kitchen,fr
"Excellent rapport qualité prix. Le son est très bon. Seul petit bémol, je réside en Belgique et suite à un litige entre Tunein et les radios publiques belges, je ne peux capter les chaines de la RTBF.",4,wireless,fr
matelat pour chambre 2 adultes,1,furniture,fr
Conforme à la description. Rapide pour la livraison,5,other,fr
"Trop épais , il faudrait changer de pointure de chaussure",1,drugstore,fr
"Déçue, je n'avais pas demandé le collier bleu mais vert... La luminosité du collier bleu est bien moindre ce qui est gênant lorsque le chien n'est pas tenu en laisse et qu'il s'éloigne.",1,pet_products,fr
Belle couleur...au toucher parfait. S adapte bien au S7,5,electronics,fr
"Good stories as always, my son watches it all day",5,other,en
"Ca n'apporte rien de plus au spa à part de faire joli et d'en foutre plein la vue ! Deplus très cher pour ce que c'est.. On y est pas confortablement assis,avec les chaud froid,ca se dégonfle et regonfle ... Si..c'est sympa pour poser les serviette quand on fait un jacuzzi..",2,lawn_and_garden,fr
"No pacing of any kind is why. Also half the book is told in third person, and half in first. That didn't work well even for Robert B. Parker. I won't try any more of this author's work.",2,digital_ebook_purchase,en
Liked the small round size very much since I only have a few daily pills. Would like the colors to be different to easily pick the right one for the time of day.,4,drugstore,en
"Well, I bought this because i thought the top was fun. I am 53 and weigh 125 and I purchased a medium. I wasn't sure about the bottoms and they are a little weird. They fit but the cut is just sorta awkward. Not very flattering on me...but they might be flattering and someone younger. They are cheeky which was fine, it's the weird strap that makes it odd. The top is pretty loose and the bottoms are snug. Bigger bottoms might fit better but then the tops would literally fall off of me. For the price, I am going to keep because I pared the top with different bottoms and it's adorable.",3,apparel,en
I don't even use these anymore. They are too dim for use,2,home_improvement,en
Used the products for the first time today.My hair feels like straw and I had trouble getting a comb through my hair after washing. My scalp still itches.,2,beauty,en
Je recommande vivement. J'en suis super satisfait et je pense m'en racheter une seconde. En plus la connexion USB coup l'aliment quand l'appareil est chargé.,5,home_improvement,fr
Great buy the drill bits won't last but everything else will.,5,other,en
"I bought two packages of these. Of the four, only one worked at all, and it failed within about 90 seconds. Don't waste your money on this product.",1,wireless,en
its kinda big. but its okay,3,kitchen,en
Years ago my wife bought me a similar weather station she paid more money for and it NEVER worked properly and was very difficult to set up. AcuRite is a breeze to set up and works so very well. I love this thing.,5,home,en
Très rapide et efficace,4,wireless,fr
"Très mal protégé, pour des disques durs, sans mousse avec les disques qui ce balade dans le grand carton",2,pc,fr
These are crap..they stick for a min then they just fall off..waste of money,1,automotive,en
"Très déçu, j'ai reçu deux écouteurs pour l'oreille gauche, et en plus les écouteurs se baladent dans le boîtier",1,luggage,fr
Fits smaller dint really like the feel of it.,2,apparel,en
"Ces écouteurs sont tout simplement géniaux, ils se glissent facilement et épousent la forme de l'oreille à la perfection. Niveau son, rien à redire, celui-ci est net et puissant. Je les emmène partout avec moi que ça soit dans le bus ou au travail, rien de mieux. En ce qui concerne l'autonomie, elle est parfaitement adaptée à une longue utilisation et avec le chargeur portatif inclus, plus de raison de s’inquiéter. Niveau qualité prix excellent, je recommande à tous sans aucune hésitation.",5,wireless,fr
"C'est en fait un gros ventilateur , très bruyant qui ne brasse que de l'air chaud.",1,home,fr
"Not great, they stop working after a few weeks. I’ve purchased them 4 times now because the first 2 weeks they work well and are perfect for night time but they stop working after about 2 weeks",1,home_improvement,en
A birthday gift for my granddaughter. She will love it but the package came all bunged up. Corners smashed. I wouldn’t mind if it weren’t for her birthday. K-Mart shipped it. With Amazon that wouldn’t have happened.,2,toy,en
The seeds were received quickly but were spilled out into shipping envelope.,1,lawn_and_garden,en
Je l'ai utilisé à deux reprises pour le moment. Il est un peu lourd. La contenance pour l'eau est petite.,3,kitchen,fr
tout est dans le titre,2,office_product,fr
"c'est un cadeau simple et efficace et surtout très original livré avec une belle boite et une petite carte à remplir pour le destinataire du cadeau . Je le garde pour l'anniversaire de ma mère , je sais quelle sera aussi surprise que contente",5,furniture,fr
"Fait son taff , mais surprise en déballant le colis , c’est tout petit .",4,lawn_and_garden,fr
"Odeur très désagréable, comme une odeur de solvant. Du coup ils sont inutilisables même si les couleurs sont jolies.",1,beauty,fr
"Good product, brown was a little off on color",4,beauty,en
"Beautiful, delicate and sophisticated. When I first opened the box, one of the earring threads literally had a knot in it. Determined to get this untied ... two hour shift later finally accomplished this. And, loving them. Only three stars due to the knot in the thread and them not being ready to wear.",3,jewelry,en
brace is to big . i need a size large and have to send ist order back on my dime . i hope i get reimbursed an my size large will be automatically sent to me with out having to re order.,3,drugstore,en
"I bought this for the wireless charging capability. I was disappointed that when using wireless charging, it will charge for a few minutes and then it stops charging. You have to continuously check on it to make sure the charging has not shut off. I bought three of these. One for myself and two for gifts. Then I ordered a forth one for another gift. All four have a the same problem. I would not buy again.",1,wireless,en
Exactly what I wanted! I have downsized to a small crossbody and no longer use a wallet. This gem allows me to securely carry all I need.,5,apparel,en
Produit de très mauvaise qualité. J’ai été obligé de desserrer avec des pinces le mandrin pour enlever le forêt. Très déçu.,1,home_improvement,fr
They are very comfortable.,5,sports,en
The kids like their new cups. Easy to clean. No leaks so far.,4,baby_product,en
J'ai déjà commandé et ces têtes durent au moins aussi longtemps que les têtes d'origine,4,wireless,fr
Le produit semble correct mais sa taille est trop petite. 1 cm de plus dans le long et le large aurait été parfait.;,3,luggage,fr
Pas reçu mon article Demande de remboursement en cours,1,jewelry,fr
Super résistant et pratique juste un cintre à détendre,4,home,fr
Je n'ai pas reçu ce livre! Comment contester? Merci de me répondre !,1,book,fr
